Mon Jun 15 21:52:35 2015    profile_stats

         18972246 function calls (18208864 primitive calls) in 24.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   215763    7.276    0.000   15.527    0.000 Board.py:729(is_in_check)
1736650/973894    4.108    0.000   12.615    0.000 Board.py:302(search_direction)
  4035582    2.543    0.000    3.702    0.000 Board.py:262(get_piece)
  7990109    2.509    0.000    2.509    0.000 Board.py:258(is_square)
     3392    1.002    0.000    1.024    0.000 {built-in method open}
   640255    0.752    0.000    1.067    0.000 Piece.py:23(make_piece)
     3392    0.688    0.000    0.688    0.000 {method 'close' of '_io.TextIOWrapper' objects}
   212283    0.562    0.000    1.944    0.000 Board.py:145(takeback_move)
212389/212165    0.555    0.000   19.159    0.000 Board.py:421(is_valid_move)
   640255    0.484    0.000    1.551    0.000 Board.py:278(place_piece)
   215665    0.387    0.000    1.199    0.000 Board.py:124(make_move)
   427949    0.381    0.000    0.643    0.000 Board.py:291(remove_piece)
   618526    0.361    0.000    0.361    0.000 Piece.py:57(__init__)
   286889    0.360    0.000    0.659    0.000 Board.py:391(is_possible_move)
     6756    0.293    0.000   21.280    0.003 Gamestate.py:288(get_all_moves)
   295992    0.252    0.000    0.252    0.000 Move.py:23(__init__)
286889/286565    0.238    0.000   20.055    0.000 Board.py:546(is_possible_valid_move)
    20911    0.142    0.000    5.796    0.000 Board.py:677(get_pawn_moves)
     2983    0.118    0.000    0.518    0.000 Board.py:903(get_clar_str)
    46847    0.100    0.000   20.976    0.000 Gamestate.py:234(get_piece_moves)
    47558    0.092    0.000   21.228    0.000 Board.py:560(get_piece_moves)
     6756    0.090    0.000    3.638    0.001 Board.py:587(get_king_moves)
     3382    0.064    0.000    1.839    0.001 Game.py:276(log_move)
   133663    0.064    0.000    0.064    0.000 Piece.py:265(__init__)
    48862    0.058    0.000    0.095    0.000 enum.py:241(__getattr__)
     4553    0.057    0.000    1.656    0.000 Board.py:640(get_knight_moves)
     9978    0.053    0.000    6.394    0.001 Board.py:659(get_rook_moves)
    96926    0.046    0.000    0.046    0.000 Piece.py:229(__init__)
     3382    0.041    0.000   24.177    0.007 Game.py:206(take_ai_turn)
    56616    0.040    0.000    0.040    0.000 Board.py:550(is_take_move)
     7718    0.040    0.000    3.644    0.000 Board.py:622(get_bishop_moves)
     3382    0.038    0.000   10.942    0.003 Gamestate.py:350(get_status)
    48873    0.037    0.000    0.037    0.000 enum.py:16(_is_dunder)
    78090    0.037    0.000    0.037    0.000 Piece.py:86(__init__)
   169200    0.035    0.000    0.035    0.000 {method 'extend' of 'list' objects}
       10    0.030    0.003   24.232    2.423 Game.py:155(play)
   153275    0.026    0.000    0.026    0.000 {method 'append' of 'list' objects}
     3378    0.025    0.000    0.025    0.000 Board.py:838(is_king_draw)
    50101    0.024    0.000    0.024    0.000 Piece.py:157(__init__)
     3382    0.020    0.000   10.738    0.003 AI_1.py:11(get_move)
     3382    0.020    0.000    0.543    0.000 Board.py:866(get_san)
    36100    0.018    0.000    0.018    0.000 Piece.py:193(__init__)
     3374    0.017    0.000   10.596    0.003 Gamestate.py:342(legal_move_exists)
     3392    0.014    0.000    0.014    0.000 {built-in method _getdefaultlocale}
     3382    0.013    0.000    0.013    0.000 Board.py:847(can_promote_pawn)
     3382    0.012    0.000    0.018    0.000 Gamestate.py:161(update_counts)
     6788    0.010    0.000    0.023    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     3382    0.007    0.000    0.011    0.000 random.py:220(_randbelow)
     6788    0.007    0.000    0.007    0.000 {built-in method charmap_encode}
     6788    0.006    0.000    0.013    0.000 cp1252.py:18(encode)
     3382    0.005    0.000    0.017    0.000 random.py:250(choice)
     2358    0.005    0.000    2.871    0.001 Board.py:609(get_queen_moves)
     3392    0.005    0.000    0.019    0.000 _bootlocale.py:11(getpreferredencoding)
     3382    0.005    0.000   10.743    0.003 Player.py:121(get_move)
     3382    0.004    0.000    0.043    0.000 Gamestate.py:150(make_move)
     5183    0.004    0.000    0.004    0.000 {method 'getrandbits' of '_random.Random' objects}
     1034    0.003    0.000    0.006    0.000 Board.py:458(is_possible_castle_move)
     6788    0.003    0.000    0.003    0.000 Game.py:199(get_current_player)
     3382    0.003    0.000    0.016    0.000 Gamestate.py:308(can_promote_pawn)
       41    0.003    0.000    0.003    0.000 {built-in method stat}
     3382    0.003    0.000    0.019    0.000 Game.py:254(ai_promote_pawn)
     3382    0.003    0.000    0.003    0.000 Gamestate.py:317(swap_turn)
     3382    0.003    0.000    0.546    0.000 Gamestate.py:333(get_san)
     3392    0.003    0.000    0.003    0.000 codecs.py:177(__init__)
        1    0.002    0.002    0.002    0.002 {built-in method load_dynamic}
     2983    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     3525    0.001    0.000    0.001    0.000 {built-in method len}
        9    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1621(get_data)
     3372    0.001    0.000    0.001    0.000 codecs.py:205(setstate)
     3382    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
     1130    0.001    0.000    0.001    0.000 Piece.py:113(get_san)
        9    0.000    0.000    0.000    0.000 {built-in method loads}
       20    0.000    0.000    0.000    0.000 {built-in method OpenKey}
      764    0.000    0.000    0.000    0.000 Piece.py:256(get_san)
       10    0.000    0.000    0.001    0.000 Board.py:73(setup)
     1617    0.000    0.000    0.000    0.000 {built-in method abs}
        1    0.000    0.000   24.249   24.249 profiling.py:15(check_loop)
